FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
141129;0000;26,5811;;;
141130;0000;20,4885;;;
141201;0000;21,8978;;;
141202;0000;15,1919;;;
141203;0000;10,6905;;;
141204;0000;12,0528;;;
141205;0000;13,1082;;;
141206;0000;14,3163;;;
141207;0000;11,981;;;
141208;0000;22,7926;;;
141209;0000;26,9539;;;
141210;0000;27,8684;;;
141211;0000;15,5804;;;
141212;0000;15,1382;;;
141213;0000;10,3626;;;
141214;0000;12,9227;;;
141215;0000;10,8345;;;
141216;0000;10,5615;;;
141217;0000;13,5651;;;
141218;0000;29,915;;;
141219;0000;24,4237;;;
141220;0000;24,0887;;;
141221;0000;27,7799;;;
141222;0000;16,7578;;;
141223;0000;10,0052;;;
141224;0000;15,7454;;;
141225;0000;11,9205;;;
141226;0000;18,2524;;;
141227;0000;16,4377;;;
141228;0000;18,9033;;;
141229;0000;14,9996;;;
141230;0000;21,6305;;;
141231;0000;27,0152;;;
150101;0000;24,5833;;;
150102;0000;11,3333;;;
150103;0000;8,58333;;;
150104;0000;8,125;;;
150105;0000;11,4167;;;
150106;0000;13,125;;;
150107;0000;11,5833;;;
150108;0000;9,375;;;
150109;0000;7,66666;;;
150110;0000;14,875;;;
150111;0000;17,625;;;
150112;0000;18,6667;;;
150113;0000;11,25;;;
150114;0000;12,75;;;
150115;0000;7,25;;;
150116;0000;9,33333;;;
150117;0000;6,125;;;
150118;0000;18,9167;;;
150119;0000;10,625;;;
150120;0000;7,79166;;;
150121;0000;9,91666;;;
150122;0000;6,54166;;;
150123;0000;5,5;;;
150124;0000;5;;;
150125;0000;5,58333;;;
150126;0000;8,08333;;;
150127;0000;15,2174;;;
150128;0000;9,29166;;;
150129;0000;12,0417;;;
150130;0000;6,45833;;;
150131;0000;7,125;;;
150201;0000;7,75;;;
150202;0000;9;;;
150203;0000;9,41666;;;
150204;0000;7,41666;;;
150205;0000;7,58333;;;
150206;0000;10,125;;;
150207;0000;10,0417;;;
150208;0000;10,9167;;;
150209;0000;10,875;;;
150210;0000;9,20833;;;
150211;0000;15,4583;;;
150212;0000;16,2083;;;
150213;0000;12,2083;;;
150214;0000;11,125;;;
150215;0000;11;;;
150216;0000;11;;;
150217;0000;18,2917;;;
150218;0000;24,25;;;
150219;0000;11,6667;;;
150220;0000;10,9167;;;
150221;0000;22,625;;;
150222;0000;17,1667;;;
150223;0000;10,1667;;;
150224;0000;15,0417;;;
150225;0000;19,3333;;;
150226;0000;5,91304;;;
150227;0000;18,2917;;;
150228;0000;8,41666;;;
150301;0000;11,1667;;;
150302;0000;14,7917;;;
150303;0000;18,3333;;;
150304;0000;16,0417;;;
150305;0000;15,6667;;;
150306;0000;35,6666;;;
150307;0000;21,3333;;;
150308;0000;26,1667;;;
150309;0000;30,7917;;;
150310;0000;14,1667;;;
150311;0000;33,1666;;;
150312;0000;24,8333;;;
150313;0000;16,9167;;;
150314;0000;18,375;;;
150315;0000;26,625;;;
150316;0000;48,5;;;
150317;0000;24,4167;;;
150318;0000;21,7083;;;
150319;0000;31,9583;;;
150320;0000;29,4167;;;
150321;0000;56,0416;;;
150322;0000;104,792;;;
150323;0000;69,0833;;;
150324;0000;58,375;;;
150325;0000;92,7916;;;
150326;0000;63,375;;;
150327;0000;42,7391;;;
150328;0000;34,875;;;
150329;0000;16,4583;;;
150330;0000;23,6667;;;
150331;0000;28,9583;;;
150401;0000;30,5833;;;
150402;0000;32;;;
150403;0000;;;40,0128;
150404;0000;;;32,8739;
150405;0000;;;139,898;
150406;0000;;;186,53;
150407;0000;;;151,682;
150408;0000;;;84,2007;
150409;0000;;;31,5865;
150410;0000;;;70,9795;
150411;0000;;;87,6428;
150412;0000;;;53,4855;
150413;0000;;;75,2632;
150414;0000;;;96,3987;
150415;0000;;;166,441;
150416;0000;;;98,3339;
150417;0000;;;43,5008;
150418;0000;;;59,413;
150419;0000;;;32,1711;
150420;0000;;;40,0955;
150421;0000;;;22,1271;
150422;0000;;;15,3529;
150423;0000;;;11,5855;
150424;0000;;;22,9007;
150425;0000;;;23,1291;
150426;0000;;;50,7092;
150427;0000;;;87,2443;
150428;0000;;;55,3737;
150429;0000;;;52,2684;
150430;0000;;;21,0697;
150501;0000;;;34,5717;
150502;0000;;;31,0335;
150503;0000;;;12,9858;
150504;0000;;;24,4082;
150505;0000;;;74,1296;
150506;0000;;;115,445;
150507;0000;;;104,504;
150508;0000;;;113,31;
150509;0000;;;64,7153;
150510;0000;;;48,7045;
150511;0000;;;62,0491;
