FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
141210;0000;14,1087;;;
141211;0000;12,0292;;;
141212;0000;11,5042;;;
141213;0000;12,6625;;;
141214;0000;11,0917;;;
141215;0000;12,5392;;;
141216;0000;14,2875;;;
141217;0000;14,1667;;;
141218;0000;9,7542;;;
141219;0000;14,775;;;
141220;0000;11,0959;;;
141221;0000;11,9542;;;
141222;0000;12,1375;;;
141223;0000;11,1875;;;
141224;0000;12,2957;;;
141225;0000;13,6417;;;
141226;0000;9,75836;;;
141227;0000;6,24168;;;
141228;0000;8,46252;;;
141229;0000;10,6566;;;
141230;0000;12,8334;;;
141231;0000;12,4459;;;
150101;0000;10,075;;;
150102;0000;11,7125;;;
150103;0000;10,6084;;;
150104;0000;10,5417;;;
150105;0000;14,9959;;;
150106;0000;15,0334;;;
150107;0000;16,1959;;;
150108;0000;13,1292;;;
150109;0000;15,0709;;;
150110;0000;14,875;;;
150111;0000;13,5042;;;
150112;0000;13,9218;;;
150113;0000;12,3;;;
150114;0000;13,9792;;;
150115;0000;10,9167;;;
150116;0000;8,91669;;;
150117;0000;9,02086;;;
150118;0000;7,21252;;;
150119;0000;9,42503;;;
150120;0000;14,3667;;;
150121;0000;15,2696;;;
150122;0000;15,4584;;;
150123;0000;11,4625;;;
150124;0000;15,7417;;;
150125;0000;15,6417;;;
150126;0000;14,0792;;;
150127;0000;15,7522;;;
150128;0000;12,2834;;;
150129;0000;11,0209;;;
150130;0000;11,8334;;;
150131;0000;14,1375;;;
150201;0000;14,4931;;;
150202;0000;11,3971;;;
150203;0000;7,99273;;;
150204;0000;8,37885;;;
150205;0000;7,9021;;;
150206;0000;10,0799;;;
150207;0000;10,2965;;;
150208;0000;9,17572;;;
150209;0000;9,4848;;;
150210;0000;9,04482;;;
150211;0000;12,2934;;;
150212;0000;9,93024;;;
150213;0000;10,9854;;;
150214;0000;6,2955;;;
150215;0000;8,86252;;;
150216;0000;12,8913;;;
150217;0000;10,5601;;;
150218;0000;9,29724;;;
150219;0000;8,09828;;;
150220;0000;8,34863;;;
150221;0000;7,32537;;;
150222;0000;10,8993;;;
150223;0000;12,8286;;;
150224;0000;11,7153;;;
150225;0000;11,5316;;;
150226;0000;12,5758;;;
150227;0000;10,8594;;;
150228;0000;10,5042;;;
150301;0000;10,0417;;;
150302;0000;11,4625;;;
150303;0000;12,0826;;;
150304;0000;11,5667;;;
150305;0000;15,6459;;;
150306;0000;11,525;;;
150307;0000;13,225;;;
150308;0000;13,9459;;;
150309;0000;8,85219;;;
150310;0000;12,9125;;;
150311;0000;11,7667;;;
150312;0000;10,7959;;;
150313;0000;15,4417;;;
150314;0000;12,7875;;;
150315;0000;10,5042;;;
150316;0000;8,98752;;;
150317;0000;12,9609;;;
150318;0000;13,4584;;;
150319;0000;12,5459;;;
150320;0000;12,9042;;;
150321;0000;8,72086;;;
150322;0000;7,66669;;;
150323;0000;5,92175;;;
150324;0000;6,20002;;;
150325;0000;6,84168;;;
150326;0000;5,85418;;;
150327;0000;8,3167;;;
150328;0000;8,92918;;;
150329;0000;15,3334;;;
150330;0000;13,6875;;;
150331;0000;12,5696;;;
150401;0000;15,6709;;;
150402;0000;16,6917;;;
150403;0000;16,5167;;;
150404;0000;13,4125;;;
150405;0000;9,85419;;;
150406;0000;7,04764;;;
150407;0000;6,47501;;;
150408;0000;6,80418;;;
150409;0000;17,2501;;;
150410;0000;16,8667;;;
150411;0000;7,22086;;;
150412;0000;10,9709;;;
150413;0000;12,987;;;
150414;0000;7,62502;;;
150415;0000;6,72919;;;
150416;0000;5,31668;;;
150417;0000;8,06252;;;
150418;0000;5,12502;;;
150419;0000;16,0042;;;
150420;0000;14,5783;;;
150421;0000;15,2625;;;
150422;0000;13,9667;;;
150423;0000;14,2625;;;
150424;0000;8,21669;;;
150425;0000;14,7459;;;
150426;0000;7,40002;;;
150427;0000;4,1174;;;
150428;0000;9,63753;;;
150429;0000;6,92502;;;
150430;0000;13,5;;;
150501;0000;14,0084;;;
150502;0000;12,2959;;;
150503;0000;15,2125;;;
150504;0000;12,8783;;;
150505;0000;10,6875;;;
150506;0000;5,46668;;;
150507;0000;5,87085;;;
150508;0000;4,15417;;;
150509;0000;1,45417;;;
150510;0000;1,45834;;;
150511;0000;2,97501;;;
150512;0000;5,82919;;;
150513;0000;16,3542;;;
150514;0000;13,4625;;;
150515;0000;12,1084;;;
150516;0000;14,6518;;;
150517;0000;17,6351;;;
150518;0000;7,72726;;;
150519;0000;2,84619;;;
150520;0000;11,0809;;;
150521;0000;25,7577;;;
150522;0000;23,1553;;;
150523;0000;19,3611;;;
150524;0000;20,1709;;;
150525;0000;16,8939;;;
150526;0000;8,79828;;;
150527;0000;2,80105;;;
150528;0000;6,30349;;;
150529;0000;17,7233;;;
150530;0000;13,1657;;;
150531;0000;10,199;;;
150601;0000;10,5603;;;
150602;0000;8,31496;;;
150603;0000;17,6566;;;
150604;0000;6,04654;;;
150605;0000;6,46529;;;
150606;0000;5,78022;;;
150607;0000;14,9615;;;
150608;0000;2,61425;;;
150609;0000;6,82954;;;
150610;0000;14,7768;;;
150611;0000;15,4195;;;
150612;0000;15,7213;;;
150613;0000;19,0028;;;
150614;0000;;;;
150615;0000;21,5237;;;
150616;0000;23,1632;;;
150617;0000;21,3966;;;
150618;0000;14,5776;;;
150619;0000;10,1375;;;
150620;0000;16,7591;;;
150621;0000;22,5511;;;
150622;0000;16,1414;;;
150623;0000;9,56287;;;
150624;0000;8,50385;;;
150625;0000;3,39966;;;
150626;0000;10,9858;;;
150627;0000;17,8122;;;
150628;0000;20,4039;;;
150629;0000;21,7438;;;
150630;0000;16,448;;;
150701;0000;11,2631;;;
150702;0000;7,81911;;;
150703;0000;15,0361;;;
150704;0000;6,5455;;;
150705;0000;8,433;;;
150706;0000;9,98128;;;
150707;0000;10,2441;;;
150708;0000;8,93231;;;
150709;0000;16,4004;;;
150710;0000;15,2191;;;
150711;0000;20,2133;;;
150712;0000;20,3973;;;
150713;0000;21,4917;;;
150714;0000;21,6331;;;
150715;0000;19,819;;;
150716;0000;9,72676;;;
150717;0000;13,0632;;;
150718;0000;15,4764;;;
150719;0000;16,2143;;;
150720;0000;12,6747;;;
150721;0000;15,9654;;;
150722;0000;16,1542;;;
150723;0000;14,6025;;;
150724;0000;9,39134;;;
150725;0000;11,0591;;;
150726;0000;8,02676;;;
150727;0000;11,765;;;
150728;0000;12,8177;;;
150729;0000;7,91353;;;
150730;0000;9,03232;;;
150731;0000;3,99897;;;
150801;0000;8,02641;;;
150802;0000;9,88211;;;
150803;0000;10,3532;;;
150804;0000;1,98716;;;
150805;0000;6,83682;;;
150806;0000;8,07362;;;
150807;0000;9,96216;;;
150808;0000;9,32884;;;
150809;0000;6,16599;;;
150810;0000;9,5403;;;
150811;0000;9,89539;;;
150812;0000;6,35175;;;
150813;0000;3,17535;;;
150814;0000;11,0563;;;
150815;0000;15,4337;;;
150816;0000;20,2959;;;
150817;0000;17,0805;;;
150818;0000;19,399;;;
150819;0000;12,9719;;;
150820;0000;7,93613;;;
150821;0000;3,68404;;;
150822;0000;15,2171;;;
150823;0000;6,73439;;;
150824;0000;6,66356;;;
150825;0000;3,69288;;;
150826;0000;10,9129;;;
150827;0000;8,97502;;;
150828;0000;15,2799;;;
150829;0000;22,2084;;;
